site ,date,year,source_type,length_mm,breadth_mm,mass_g
PAT01A,2009-07-24,2009,Survey,40.00,61.00,36.00
PAT01A,2009-07-24,2009,Survey,42.00,67.00,41.00
PAT01A,2009-07-24,2009,Survey,39.00,61.00,32.00
PAT01A,2009-07-24,2009,Survey,39.00,55.00,25.00
PAT01A,2009-07-24,2009,Survey,29.00,43.00,25.00
PAT01A,2009-07-24,2009,Survey,51.00,68.00,42.00
PAT01A,2009-07-24,2009,Survey,46.00,67.00,47.00
PAT01A,2009-07-24,2009,Survey,41.00,60.00,35.00
PAT01A,2009-07-24,2009,Survey,45.00,65.00,44.00
PAT01A,2009-07-24,2009,Survey,41.00,61.00,35.00
PAT01A,2009-07-24,2009,Survey,47.00,67.00,54.00
PAT01A,2009-07-24,2009,Survey,35.00,53.00,17.00
PAT01A,2009-07-24,2009,Survey,43.00,62.00,39.00
PAT01A,2009-07-24,2009,Survey,42.00,66.00,37.00
PAT01A,2009-07-24,2009,Survey,41.00,59.00,30.00
PAT01A,2009-07-24,2009,Survey,41.00,63.00,28.00
PAT01A,2009-07-24,2009,Survey,33.00,51.00,25.00
PAT01A,2009-07-24,2009,Survey,37.00,59.00,28.00
PAT01A,2009-07-24,2009,Survey,45.00,65.00,44.00
PAT01A,2009-07-24,2009,Survey,40.00,65.00,37.00
PAT01A,2009-07-24,2009,Survey,38.00,59.00,28.00
PAT01A,2009-07-24,2009,Survey,43.00,63.00,36.00
PAT01A,2009-07-24,2009,Survey,41.00,60.00,38.00
PAT01A,2009-07-24,2009,Survey,31.00,46.00,13.00
PAT01A,2009-07-24,2009,Survey,33.00,49.00,16.00
PAT01A,2009-07-24,2009,Survey,31.00,48.00,16.00
PAT01A,2009-07-24,2009,Survey,43.00,60.00,37.00
PAT01A,2009-07-24,2009,Survey,40.00,59.00,31.00
PAT01A,2009-07-24,2009,Survey,40.00,63.00,38.00
PAT01A,2009-07-24,2009,Survey,35.00,49.00,15.00
PAT01A,2009-07-24,2009,Survey,40.00,59.00,32.00
PAT01A,2009-07-24,2009,Survey,36.00,50.00,17.00
PAT01A,2009-07-24,2009,Survey,41.00,59.00,33.00
PAT01A,2009-07-24,2009,Survey,59.00,76.00,66.00
PAT01A,2009-07-24,2009,Survey,40.00,57.00,34.00
PAT01A,2009-07-24,2009,Survey,40.00,60.00,34.00
PAT01A,2009-07-24,2009,Survey,32.00,51.00,19.00
PAT01A,2009-07-24,2009,Survey,40.00,56.00,26.00
PAT01A,2009-07-24,2009,Survey,41.00,65.00,38.00
PAT01A,2009-07-24,2009,Survey,42.00,64.00,40.00
PAT01A,2009-07-24,2009,Survey,37.00,57.00,31.00
PAT01A,2009-07-24,2009,Survey,40.00,55.00,27.00
PAT01A,2009-07-24,2009,Survey,43.00,66.00,43.00
PAT01A,2009-07-24,2009,Survey,36.00,54.00,26.00
PAT01A,2009-07-24,2009,Survey,41.00,63.00,41.00
PAT01A,2009-07-24,2009,Survey,40.00,61.00,39.00
PAT01A,2009-07-24,2009,Survey,48.00,71.00,54.00
PAT01A,2009-07-24,2009,Survey,41.00,64.00,41.00
PAT01A,2009-07-24,2009,Survey,43.00,67.00,49.00
PAT01A,2009-07-24,2009,Survey,42.00,62.00,41.00
PAT01A,2009-07-24,2009,Survey,44.00,66.00,49.00
PAT01A,2009-07-24,2009,Survey,41.00,60.00,34.00
PAT01A,2009-07-24,2009,Survey,35.00,53.00,19.00
PAT01A,2009-07-24,2009,Survey,44.00,70.00,60.00
PAT01A,2009-07-24,2009,Survey,39.00,59.00,32.00
PAT01A,2009-07-24,2009,Survey,47.00,65.00,54.00
PAT01A,2009-07-24,2009,Survey,46.00,72.00,63.00
PAT01A,2009-07-24,2009,Survey,40.00,60.00,37.00
PAT01A,2009-07-24,2009,Survey,42.00,60.00,30.00
PAT01A,2009-07-24,2009,Survey,47.00,65.00,38.00
PAT01A,2009-07-24,2009,Survey,45.00,73.00,62.00
PAT01A,2009-07-24,2009,Survey,42.00,70.00,50.00
PAT01A,2009-07-24,2009,Survey,43.00,61.00,39.00
PAT01A,2009-07-24,2009,Survey,43.00,60.00,34.00
PAT01A,2009-07-24,2009,Survey,41.00,62.00,34.00
PAT01A,2009-07-24,2009,Survey,42.00,61.00,39.00
PAT01A,2009-07-24,2009,Survey,40.00,61.00,31.00
PAT01A,2009-07-24,2009,Survey,43.00,64.00,47.00
PAT01A,2009-07-24,2009,Survey,44.00,63.00,41.00
PAT01A,2009-07-24,2009,Survey,35.00,52.00,19.00
PAT01A,2009-07-24,2009,Survey,42.00,61.00,40.00
PAT01A,2009-07-24,2009,Survey,41.00,58.00,37.00
